"course","lng","lat","Estblsh","Age_yrs","Mn_prtc","Mn_vlnt"
"bournemouth",-1.833429,50.734663,"2013-08-24",5.6,328.6,33
"blackhill",-1.839545,54.858097,"2013-07-13",5.7,80.1,16.1
"moorsvalley",-1.849421,50.851205,"2015-11-07",3.3,338.4,31.2
"suttonpark",-1.860654,52.559809,"2018-08-18",0.6,233.3,28.6
"swindon",-1.861582,51.563519,"2010-03-06",9,321.6,26.3
"prudhoeriverside",-1.863175,54.968075,"2016-11-12",2.3,153.2,18.9
"halifax",-1.8772006,53.7318109,"2015-03-07",4,125.1,19.9
"cannon-hill",-1.905742,52.44955,"2010-08-28",8.5,431,27.7
"perryhall",-1.910607,52.52429,"2014-11-22",4.3,106,14.9
"arrowvalley",-1.911278,52.304779,"2012-07-14",6.7,268.7,23
"cliffecastle",-1.912925,53.875025,"2018-09-15",0.5,218.2,19.8
"glossop",-1.940299,53.448644,"2015-09-26",3.5,103.1,15.8
"evesham",-1.958098,52.090173,"2015-03-21",4,117.8,12.1
"poole",-1.967196,50.719069,"2011-04-02",7.9,510.5,41.8
"walsall",-1.968795,52.589303,"2012-03-10",7,260.6,21.5
"sandwellvalley",-1.9731188,52.5195634,"2017-11-11",1.3,116,22.6
"cirencester",-1.99249,51.710275,"2018-02-03",1.1,173.9,24
"cannockchase",-1.995446,52.737467,"2016-11-19",2.3,392.9,32.7
"uptonhouse",-2.013427,50.73488,"2017-06-03",1.8,248.7,30.6
"skipton",-2.031655,53.961969,"2013-09-07",5.5,141.9,13.6
"lymepark",-2.052555,53.341533,"2014-02-22",5.1,105.9,13.7
"marple",-2.058649,53.404748,"2012-05-26",6.8,153.3,16.2
"cheltenham",-2.073669,51.910047,"2013-02-16",6.1,366.1,26.3
"stamfordpark",-2.0760298,53.4915691,"2015-05-02",3.9,79.4,16.3
"hyde",-2.076534,53.457127,"2017-01-07",2.2,119.9,20.3
"oldham",-2.103968,53.534072,"2010-07-24",8.6,131.5,11.9
"chippenham",-2.107229,51.457644,"2014-04-12",4.9,150.2,22.5
"macclesfield",-2.13021,53.251416,"2018-04-28",0.9,266.8,31.8
"dudley",-2.134491,52.490052,"2017-01-07",2.2,215.5,27.2
"melksham",-2.135677,51.37768,"2017-12-16",1.2,129.2,29.8
"watergrove",-2.137184,53.662544,"2014-06-07",4.8,55.2,13.4
"woodbank",-2.139223,53.410721,"2009-08-22",9.6,122.6,11
"wolverhampton",-2.139909,52.589401,"2013-02-02",6.1,216.5,15.8
"tewkesbury",-2.157987,51.989657,"2015-07-04",3.7,66.8,15.6
"chaddertonhall",-2.1585485,53.5540631,"2016-04-23",2.9,65.2,10.4
"bramhall",-2.165787,53.374855,"2008-04-19",10.9,329.6,19.3
"hanley",-2.176065,53.014396,"2011-09-24",7.5,178.1,16.9
"blandford",-2.177353,50.868974,"2014-07-26",4.6,140.2,12.1
"pendle",-2.18224,53.863802,"2014-05-10",4.8,75.5,14.5
"worcester",-2.183533,52.188825,"2011-06-18",7.7,369.9,31.2
"burnage",-2.208853,53.40746,"2012-07-21",6.6,94.2,11.9
"cheadlehulme",-2.21199,53.379119,"2014-06-28",4.7,43.5,13
"burnley",-2.218766,53.777187,"2012-06-02",6.8,240.7,16
"southmanchester",-2.225118,53.447018,"2009-11-14",9.3,258.9,19.1
"congleton",-2.22971,53.158737,"2012-12-15",6.2,172.2,13
"gloucesternorth",-2.2317052,51.8783124,"2015-10-10",3.4,100.4,21.3
